route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
981-221,Weekday-1,1010-98109-18000-2-fc6666b6,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-19800-2-fc6666b6,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-21600-2-fc6666b6,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-23400-2-96dc00c8,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekend-1,1010-98109-25500-2-2ffa30cc,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-25500-2-6adf3262,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-27300-2-6adf3262,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekend-1,1010-98109-29100-2-31b4e5eb,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-29100-2-6adf3262,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-30900-2-6adf3262,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Daily-1,1010-98109-32700-2-31b4e5eb,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Daily-1,1010-98109-36300-2-31b4e5eb,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekend-1,1010-98109-39900-2-0572c5cf,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-39900-2-31b4e5eb,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekend-1,1010-98109-43500-2-0572c5cf,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-43500-2-31b4e5eb,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekend-1,1010-98109-47100-2-0572c5cf,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-47100-2-31b4e5eb,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekend-1,1010-98109-50700-2-0572c5cf,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-50700-2-31b4e5eb,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekend-1,1010-98109-54300-2-0572c5cf,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-54300-2-31b4e5eb,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekend-1,1010-98109-57900-2-0572c5cf,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-57900-2-31b4e5eb,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekend-1,1010-98109-61500-2-0572c5cf,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-61500-2-31b4e5eb,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Daily-1,1010-98109-65100-2-0572c5cf,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Daily-1,1010-98109-68700-2-2ffa30cc,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-71700-2-2ffa30cc,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekend-1,1010-98109-72300-2-2ffa30cc,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-75300-2-2ffa30cc,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekend-1,1010-98109-75900-2-2ffa30cc,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-78900-2-2ffa30cc,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekend-1,1010-98109-79500-2-2ffa30cc,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98109-82500-2-2ffa30cc,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Saturday-1,1010-98109-83100-2-2ffa30cc,Waiwera To Hibiscus Coast Station,,0,,1010-98109-d221c68a,0,0
981-221,Weekday-1,1010-98110-23700-2-dfb0a476,Hibiscus Coast Station To Waiwera,,1,,1010-98110-34e6d81d,0,0
981-221,Weekday-1,1010-98110-27300-2-288766ca,Hibiscus Coast Station To Waiwera,,1,,1010-98110-34e6d81d,0,0
981-221,Weekend-1,1010-98110-27300-2-50386c3e,Hibiscus Coast Station To Waiwera,,1,,1010-98110-34e6d81d,0,0
981-221,Weekend-1,1010-98110-30900-2-50386c3e,Hibiscus Coast Station To Waiwera,,1,,1010-98110-34e6d81d,0,0
981-221,Weekday-1,1010-98110-30900-2-b8faf100,Hibiscus Coast Station To Waiwera,,1,,1010-98110-34e6d81d,0,0
981-221,Weekend-1,1010-98110-34500-2-50386c3e,Hibiscus Coast Station To Waiwera,,1,,1010-98110-34e6d81d,0,0
981-221,Weekday-1,1010-98110-34500-2-b8faf100,Hibiscus Coast Station To Waiwera,,1,,1010-98110-34e6d81d,0,0
