service_id,date,exception_type
Daily-11,20230310,2
Daily-11,20230313,2
Daily-11,20230314,2
Daily-11,20230315,2
Daily-11,20230316,2
Daily-11,20230317,2
Daily-11,20230411,2
Daily-11,20230412,2
Daily-11,20230413,2
Daily-11,20230414,2
Daily-11,20230417,2
Daily-11,20230418,2
Daily-11,20230419,2
Daily-11,20230420,2
Daily-11,20230421,2
Daily-12,20230411,2
Daily-12,20230412,2
Daily-12,20230413,2
Daily-12,20230414,2
Daily-12,20230417,2
Daily-12,20230418,2
Daily-12,20230419,2
Daily-12,20230420,2
Daily-12,20230421,2
Daily-2,20230319,2
Daily-5,20230411,2
Daily-5,20230412,2
Daily-5,20230413,2
Daily-5,20230414,2
Daily-5,20230417,2
Daily-5,20230418,2
Daily-5,20230419,2
Daily-5,20230420,2
Daily-5,20230421,2
Daily-6,20230311,2
Daily-6,20230318,2
Daily-7,20230310,2
Daily-7,20230311,2
Daily-7,20230313,2
Daily-7,20230314,2
Daily-7,20230315,2
Daily-7,20230316,2
Daily-7,20230317,2
Daily-7,20230318,2
Daily-8,20230310,2
Daily-8,20230313,2
Daily-8,20230314,2
Daily-8,20230315,2
Daily-8,20230316,2
Daily-8,20230317,2
Daily-9,20230310,2
Daily-9,20230311,2
Daily-9,20230313,2
Daily-9,20230314,2
Daily-9,20230315,2
Daily-9,20230316,2
Daily-9,20230317,2
Daily-9,20230318,2
Daily-9,20230411,2
Daily-9,20230412,2
Daily-9,20230413,2
Daily-9,20230414,2
Daily-9,20230417,2
Daily-9,20230418,2
Daily-9,20230419,2
Daily-9,20230420,2
Daily-9,20230421,2
ExSat-2,20230310,2
ExSat-2,20230312,2
ExSat-2,20230313,2
ExSat-2,20230314,2
ExSat-2,20230315,2
ExSat-2,20230316,2
ExSat-2,20230317,2
ExSat-3,20230311,1
ExSat-3,20230318,1
ExSat-3,20230411,2
ExSat-3,20230412,2
ExSat-3,20230413,2
ExSat-3,20230414,2
ExSat-3,20230417,2
ExSat-3,20230418,2
ExSat-3,20230419,2
ExSat-3,20230420,2
ExSat-3,20230421,2
ExSat-4,20230310,2
ExSat-4,20230313,2
ExSat-4,20230314,2
ExSat-4,20230315,2
ExSat-4,20230316,2
ExSat-4,20230317,2
ExSat-6,20230411,2
ExSat-6,20230412,2
ExSat-6,20230413,2
ExSat-6,20230414,2
ExSat-6,20230417,2
ExSat-6,20230418,2
ExSat-6,20230419,2
ExSat-6,20230420,2
ExSat-6,20230421,2
ExSat-7,20230311,1
ExSat-7,20230318,1
ExSat-8,20230312,2
ExSat-9,20230310,2
ExSat-9,20230313,2
ExSat-9,20230314,2
ExSat-9,20230315,2
ExSat-9,20230316,2
ExSat-9,20230317,2
ExSat-9,20230411,2
ExSat-9,20230412,2
ExSat-9,20230413,2
ExSat-9,20230414,2
ExSat-9,20230417,2
ExSat-9,20230418,2
ExSat-9,20230419,2
ExSat-9,20230420,2
ExSat-9,20230421,2
ExSun-10,20230312,1
ExSun-10,20230310,2
ExSun-10,20230313,2
ExSun-10,20230314,2
ExSun-10,20230315,2
ExSun-10,20230316,2
ExSun-10,20230317,2
ExSun-10,20230407,2
ExSun-10,20230410,2
ExSun-10,20230411,2
ExSun-10,20230412,2
ExSun-10,20230413,2
ExSun-10,20230414,2
ExSun-10,20230417,2
ExSun-10,20230418,2
ExSun-10,20230419,2
ExSun-10,20230420,2
ExSun-10,20230421,2
ExSun-10,20230425,2
ExSun-11,20230407,2
ExSun-11,20230410,2
ExSun-11,20230425,2
ExSun-2,20230310,2
ExSun-2,20230311,2
ExSun-2,20230313,2
ExSun-2,20230314,2
ExSun-2,20230315,2
ExSun-2,20230316,2
ExSun-2,20230317,2
ExSun-2,20230318,2
ExSun-2,20230407,2
ExSun-2,20230410,2
ExSun-2,20230425,2
ExSun-3,20230407,2
ExSun-3,20230410,2
ExSun-3,20230425,2
ExSun-4,20230312,1
ExSun-4,20230407,2
ExSun-4,20230410,2
ExSun-4,20230425,2
ExSun-5,20230310,2
ExSun-5,20230311,2
ExSun-5,20230313,2
ExSun-5,20230314,2
ExSun-5,20230315,2
ExSun-5,20230316,2
ExSun-5,20230317,2
ExSun-5,20230318,2
ExSun-5,20230407,2
ExSun-5,20230410,2
ExSun-5,20230411,2
ExSun-5,20230412,2
ExSun-5,20230413,2
ExSun-5,20230414,2
ExSun-5,20230417,2
ExSun-5,20230418,2
ExSun-5,20230419,2
ExSun-5,20230420,2
ExSun-5,20230421,2
ExSun-5,20230425,2
ExSun-6,20230310,2
ExSun-6,20230313,2
ExSun-6,20230314,2
ExSun-6,20230315,2
ExSun-6,20230316,2
ExSun-6,20230317,2
ExSun-6,20230407,2
ExSun-6,20230410,2
ExSun-6,20230425,2
ExSun-7,20230311,2
ExSun-7,20230318,2
ExSun-7,20230407,2
ExSun-7,20230410,2
ExSun-7,20230425,2
ExSun-8,20230311,2
ExSun-8,20230318,2
ExSun-8,20230407,2
ExSun-8,20230410,2
ExSun-8,20230411,2
ExSun-8,20230412,2
ExSun-8,20230413,2
ExSun-8,20230414,2
ExSun-8,20230417,2
ExSun-8,20230418,2
ExSun-8,20230419,2
ExSun-8,20230420,2
ExSun-8,20230421,2
ExSun-8,20230425,2
ExSun-9,20230407,2
ExSun-9,20230410,2
ExSun-9,20230411,2
ExSun-9,20230412,2
ExSun-9,20230413,2
ExSun-9,20230414,2
ExSun-9,20230417,2
ExSun-9,20230418,2
ExSun-9,20230419,2
ExSun-9,20230420,2
ExSun-9,20230421,2
ExSun-9,20230425,2
FriSat-2,20230407,2
FriSat-3,20230407,2
Friday-2,20230317,2
Friday-2,20230407,2
Friday-3,20230407,2
Friday-4,20230407,2
Friday-4,20230505,2
Friday-5,20230406,1
Friday-5,20230407,2
Friday-6,20230407,2
Other-1,20230310,1
Other-1,20230311,1
Other-1,20230312,1
Other-1,20230313,1
Other-1,20230314,1
Other-1,20230315,1
Other-1,20230316,1
Other-1,20230317,1
Other-1,20230318,1
Other-1,20230319,1
Other-10,20230311,1
Other-10,20230401,1
Other-10,20230402,1
Other-10,20230407,1
Other-10,20230408,1
Other-10,20230409,1
Other-10,20230410,1
Other-11,20230310,1
Other-11,20230331,1
Other-12,20230311,1
Other-12,20230401,1
Other-12,20230408,1
Other-13,20230331,1
Other-14,20230311,1
Other-14,20230401,1
Other-14,20230407,1
Other-14,20230408,1
Other-14,20230409,1
Other-14,20230410,1
Other-15,20230320,1
Other-15,20230321,1
Other-15,20230322,1
Other-15,20230323,1
Other-15,20230413,1
Other-16,20230318,1
